Bacon BBQ Burger, 710 Cal.,
Double Bacon BBQ Burger, 920 Cal.,
Big Mac, 540 Cal.,
Quarter Pounder* with Cheese, 510 Cal.,
Quarter Pounder* with Cheese Deluxe, 650 Cal.,
Double Quarter Pounder* with Cheese, 720 Cal.,
Quarter Pounder* with Cheese Bacon, 640 Cal.,
Double Cheeseburger, 440 Cal.,
McDouble, 390 Cal.,
Cheeseburger, 300 Cal.,
Hamburger, 250 Cal.,
Snickerdoodle McFlurry, 530 Cal.,
Chocolate Shake, 530 Cal.,
Vanilla Shake, 490 Cal.,
Strawberry Shake, 500 Cal.,
Vanilla Cone, 200 Cal.,
Hot Fudge Sundae, 330 Cal.,
McFlurry with M&M'S Candies, 630 Cal.,
Kiddie Cone, 45 Cal.,
Hot Caramel Sundae, 340 Cal.,
Strawberry Sundae, 270 Cal.,
McFlurry with OREO Cookies, 510 Cal.,
Baked Apple Pie, 240 Cal.,
Chocolate Chip Cookie, 160 Cal.,
Coca-Cola, 150 Cal.,
Sprite, 140 Cal.,
Fanta Orange, 150 Cal.,
Dr Pepper, 140 Cal.,
MIX by Sprite Tropic Berry, 130 Cal.,
Diet Coke, 0 Cal.,
Chocolate Shake, 530 Cal.,
Vanilla Shake, 490 Cal.,
Strawberry Shake, 500 Cal.,
Hot Chocolate, 430 Cal.,
Iced Tea, 0 Cal.,
Sweet Tea, 90 Cal.,
Fat Free Chocolate Milk Jug, 130 Cal.,
1% Low Fat Milk Jug, 100 Cal.,
DASANI Water, 0 Cal.,
Minute Maid Premium Orange Juice, 150 Cal.,
Minute Maid Fruit Punch Slushie, 170 Cal.,
Honest Kids Appley Ever After Organic Juice Drink, 35 Cal.,
Minute Maid Blue Raspberry Slushie, 190 Cal.,
Minute Maid Sweet Peach Slushie, 180 Cal.,
Cinnamon Cookie Latte, 250 Cal.,
Iced Cinnamon Cookie Latte, 180 Cal.,
Caramel Macchiato, 260 Cal.,
Iced Caramel Macchiato, 210 Cal.,
Cappuccino, 120 Cal.,
Caramel Cappuccino, 210 Cal.,
French Vanilla Cappuccino, 190 Cal.,
Mocha, 300 Cal.,
Iced Mocha, 280 Cal.,
Caramel Mocha, 310 Cal.,
Iced Caramel Mocha, 280 Cal.,
Latte, 140 Cal.,
Iced Latte, 90 Cal.,
Caramel Latte, 250 Cal.,
Iced Caramel Latte, 180 Cal.,
French Vanilla Latte, 230 Cal.,
Iced French Vanilla Latte, 190 Cal.,
Americano, 0 Cal.,
Premium Roast Coffee, 0 Cal.,
Iced Coffee, 140 Cal.,
Iced Caramel Coffee, 140 Cal.,
Iced French Vanilla Coffee, 120 Cal.,
Caramel Frappé, 420 Cal.,
Mocha Frappé, 420 Cal.,
Hot Chocolate, 430 Cal.,
Strawberry Banana Smoothie, 190 Cal.,
Mango Pineapple Smoothie, 200 Cal.,
Bacon Ranch Salad with Buttermilk Crispy Chicken, 470 Cal.,
Bacon Ranch Grilled Chicken Salad, 300 Cal.,
Southwest Buttermilk Crispy Chicken Salad, 500 Cal.,
Southwest Grilled Chicken Salad, 330 Cal.,
6 piece Donut Sticks, 280 Cal.,
Small World Famous Fries, 220 Cal.,
Apple Slices, 15 Cal.,
Yoplait GO-GURT Low Fat Strawberry Yogurt, 45 Cal.,
Fruit 'N Yogurt Parfait, 210 Cal.,
Side Salad, 15 Cal.,
Minute Maid Blue Raspberry Slushie, 190 Cal.,
Minute Maid Fruit Punch Slushie, 170 Cal.,
4 piece Chicken McNuggets, 170 Cal.,
Buttermilk Crispy Tenders, 480 Cal.,
Artisan Grilled Chicken Sandwich, 430 Cal.,
Buttermilk Crispy Chicken Sandwich, 600 Cal.,
McChicken, 400 Cal.,
Filet-O-Fish, 390 Cal.,
Bacon Ranch Salad with Buttermilk Crispy Chicken, 470 Cal.,
Bacon Ranch Grilled Chicken Salad, 300 Cal.,
Southwest Buttermilk Crispy Chicken Salad, 500 Cal.,
Side Salad, 15 Cal.,
Minute Maid Sweet Peach Slushie, 180 Cal.,
Southwest Grilled Chicken Salad, 330 Cal.,
6 piece Donut Sticks, 280 Cal.,
Egg McMuffin, 300 Cal.,
Sausage McMuffin with Egg, 480 Cal.,
Bacon, Egg  & Cheese Biscuit, 450 Cal.,
Sausage Biscuit, 460 Cal.,
Sausage Biscuit  with Egg, 530 Cal.,
Bacon, Egg & Cheese McGriddles, 420 Cal.,
Sausage McGriddles, 430 Cal.,
Sausage, Egg & Cheese McGriddles, 550 Cal.,
Bacon, Egg & Cheese Bagel, 550 Cal.,
Big Breakfast, 750 Cal.,
Big Breakfast with Hotcakes, 1340 Cal.,
Hotcakes, 590 Cal.,
Hotcakes and Sausage, 780 Cal.,
Sausage Burrito, 300 Cal.,
Hash Browns, 150 Cal.,
Fruit & Maple Oatmeal, 310 Cal.,
Fruit 'N Yogurt Parfait, 210 Cal.,
